                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4184,                  4.343,                 2.5183,                0.11782,                 0.8125,                0.35913,                0.12011,                 1.7532,                 4.5876,                 2.2727,                0.00011,                0.00011,                0.00011
                      2,                 1.7438,                 2.9182,                 1.8429,                0.17978,                      1,                0.64585,                 0.2976,                 1.3461,                 4.0635,                 1.6803,             0.00022545,             0.00022545,             0.00022545
                      3,                 1.4514,                 2.2661,                 1.5958,                   0.25,                      1,                0.84402,                0.45489,                 1.3305,                 3.9255,                 1.6335,             0.00033614,             0.00033614,             0.00033614
                      4,                 1.4248,                 2.0191,                 1.5405,                0.23301,                      1,                0.89332,                0.41585,                 1.4604,                 3.3881,                 1.7132,             0.00044208,             0.00044208,             0.00044208
                      5,                 1.4355,                 1.7715,                 1.4811,                0.90613,                  0.875,                0.96952,                0.60622,                 1.2986,                 2.4056,                 1.6471,             0.00054327,             0.00054327,             0.00054327
                      6,                 1.3225,                 1.6225,                 1.3983,                0.99568,                0.91667,                0.98853,                0.63022,                 1.2786,                 2.1371,                  1.486,             0.00063971,             0.00063971,             0.00063971
                      7,                 1.3811,                 1.5829,                 1.4443,                0.96831,                      1,                0.99459,                0.53218,                 1.6095,                 2.2369,                 1.8138,              0.0007314,              0.0007314,              0.0007314
                      8,                 1.3616,                 1.5739,                 1.4364,                0.97945,                0.99308,                0.99378,                0.57199,                 1.4201,                 1.8551,                 1.6233,             0.00081833,             0.00081833,             0.00081833
                      9,                 1.2567,                 1.4405,                 1.3745,                0.79824,                0.77083,                0.86882,                0.37537,                 1.8627,                 2.6405,                 1.9752,              0.0008416,              0.0008416,              0.0008416
                     10,                  1.265,                 1.4446,                 1.3989,                0.92419,                 0.9375,                0.93541,                0.51459,                 1.5433,                 1.9624,                 1.6248,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.2906,                 1.3846,                 1.3938,                0.88956,                0.97917,                0.98022,                0.60263,                 1.3401,                 1.8719,                 1.5516,              0.0008218,              0.0008218,              0.0008218
                     12,                 1.2397,                 1.2515,                 1.3672,                0.96292,                0.97917,                0.99253,                0.56179,                 1.3982,                 1.7507,                 1.5616,               0.000802,               0.000802,               0.000802
                     13,                 1.2973,                 1.3568,                 1.4245,                0.95777,                0.95833,                0.97619,                 0.4965,                 1.6771,                 1.6821,                 1.8227,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.2587,                 1.2527,                 1.3549,                0.97481,                0.97917,                0.97566,                0.61405,                 1.3531,                 1.3815,                 1.5227,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.2715,                 1.2409,                 1.3932,                0.94931,                0.97917,                  0.988,                0.61438,                 1.2683,                 1.3538,                 1.4944,              0.0007426,              0.0007426,              0.0007426
                     16,                 1.1044,                 1.1276,                 1.2969,                0.99082,                0.97917,                 0.9942,                0.63649,                 1.2189,                 1.2342,                 1.4578,              0.0007228,              0.0007228,              0.0007228
                     17,                  1.228,                 1.1308,                 1.3164,                0.95329,                0.97917,                0.96691,                0.56142,                 1.4697,                 1.2775,                 1.7256,               0.000703,               0.000703,               0.000703
                     18,                 1.2095,                 1.1362,                 1.3209,                0.98927,                      1,                  0.995,                0.62252,                 1.2986,                 1.2637,                 1.5223,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.2072,                 1.0794,                 1.3092,                0.99641,                      1,                  0.995,                0.56008,                 1.5225,                 1.1907,                  1.654,              0.0006634,              0.0006634,              0.0006634
                     20,                 1.1738,                 1.0818,                 1.3104,                0.99818,                      1,                  0.995,                0.64223,                 1.1821,                 1.0236,                 1.4114,              0.0006436,              0.0006436,              0.0006436
                     21,                   1.17,                 1.0699,                 1.2894,                0.99604,                      1,                  0.995,                0.58604,                 1.4133,                 1.1748,                 1.6198,              0.0006238,              0.0006238,              0.0006238
                     22,                 1.1498,                  1.019,                 1.2826,                0.97617,                      1,                0.99378,                0.61544,                  1.298,                 1.0905,                 1.5083,               0.000604,               0.000604,               0.000604
                     23,                 1.1154,                0.97093,                  1.265,                 0.9981,                      1,                  0.995,                0.61739,                 1.2495,                 1.0311,                 1.4779,              0.0005842,              0.0005842,              0.0005842
                     24,                 1.1173,                0.97505,                 1.2463,                0.97783,                      1,                0.99418,                 0.6074,                 1.2389,                 1.0704,                 1.4616,              0.0005644,              0.0005644,              0.0005644
                     25,                 1.1236,                0.90917,                  1.232,                0.97954,                0.99724,                0.99337,                0.57163,                 1.4175,                 1.0999,                 1.6271,              0.0005446,              0.0005446,              0.0005446
                     26,                 1.0932,                0.92697,                 1.2299,                0.99809,                      1,                  0.995,                0.64982,                 1.2307,                0.99662,                 1.4462,              0.0005248,              0.0005248,              0.0005248
                     27,                 1.1011,                 0.9079,                 1.2214,                0.97917,                 0.9791,                0.95629,                0.58948,                 1.3448,                0.98162,                 1.5256,               0.000505,               0.000505,               0.000505
                     28,                 1.0854,                0.87436,                 1.2375,                0.99898,                      1,                  0.995,                0.60559,                 1.2728,                0.96596,                 1.4657,              0.0004852,              0.0004852,              0.0004852
                     29,                 1.0504,                0.84658,                 1.2027,                0.99836,                      1,                  0.995,                0.60134,                 1.4095,                0.95539,                 1.5821,              0.0004654,              0.0004654,              0.0004654
                     30,                 1.1084,                0.85742,                 1.2446,                0.99759,                      1,                  0.995,                0.62764,                  1.295,                0.94294,                 1.4754,              0.0004456,              0.0004456,              0.0004456
                     31,                 1.0224,                 0.8247,                 1.1979,                0.99682,                      1,                  0.995,                 0.6304,                 1.2571,                0.89995,                 1.4704,              0.0004258,              0.0004258,              0.0004258
                     32,                 1.0234,                0.81036,                 1.2093,                0.97643,                0.97917,                 0.9555,                 0.5917,                 1.3435,                0.93438,                 1.5398,               0.000406,               0.000406,               0.000406
                     33,                 1.0381,                0.83617,                 1.2269,                0.99779,                      1,                  0.995,                0.65858,                 1.2317,                 0.8625,                 1.4129,              0.0003862,              0.0003862,              0.0003862
                     34,                 1.0259,                0.75811,                 1.1772,                0.99828,                      1,                  0.995,                0.64185,                 1.2216,                0.82602,                 1.4171,              0.0003664,              0.0003664,              0.0003664
                     35,                 1.0179,                0.77155,                 1.1817,                0.97788,                0.97917,                 0.9571,                0.60264,                 1.3352,                 0.8446,                 1.5056,              0.0003466,              0.0003466,              0.0003466
                     36,                0.96131,                0.73568,                 1.1614,                0.97739,                0.97917,                 0.9588,                0.61943,                 1.2496,                0.85949,                 1.4558,              0.0003268,              0.0003268,              0.0003268
                     37,                0.99118,                0.75583,                  1.162,                0.99803,                      1,                  0.995,                0.62735,                 1.2672,                0.81862,                 1.4837,               0.000307,               0.000307,               0.000307
                     38,                 0.9677,                0.76846,                 1.1825,                0.99845,                      1,                  0.995,                0.62919,                 1.2365,                0.82739,                 1.4416,              0.0002872,              0.0002872,              0.0002872
                     39,                 1.0139,                0.72525,                 1.1855,                 0.9986,                      1,                  0.995,                0.62086,                 1.2317,                0.81412,                 1.4448,              0.0002674,              0.0002674,              0.0002674
                     40,                0.94393,                 0.7264,                 1.1737,                0.99875,                      1,                  0.995,                0.61001,                 1.2806,                0.75803,                 1.4924,              0.0002476,              0.0002476,              0.0002476
                     41,                0.89044,                 0.8374,                 1.2025,                0.99825,                      1,                  0.995,                0.60355,                 1.2486,                0.84443,                 1.4434,              0.0002278,              0.0002278,              0.0002278
                     42,                0.87434,                0.84791,                 1.1364,                0.99838,                      1,                  0.995,                0.60087,                 1.2938,                0.88304,                 1.4464,               0.000208,               0.000208,               0.000208
                     43,                0.84119,                0.79343,                 1.1314,                0.99661,                      1,                  0.995,                0.60466,                  1.306,                0.79035,                 1.5008,              0.0001882,              0.0001882,              0.0001882
                     44,                0.80768,                0.72447,                 1.1104,                0.99866,                      1,                  0.995,                0.64463,                 1.2207,                0.75216,                 1.4545,              0.0001684,              0.0001684,              0.0001684
                     45,                 0.8029,                0.72716,                 1.1258,                0.99836,                      1,                  0.995,                 0.6352,                 1.2284,                0.74044,                 1.4466,              0.0001486,              0.0001486,              0.0001486
                     46,                0.78971,                0.70914,                 1.0739,                0.97783,                0.97917,                 0.9601,                0.59762,                 1.2925,                 0.7687,                 1.5016,              0.0001288,              0.0001288,              0.0001288
                     47,                0.79121,                 0.7264,                 1.1152,                 0.9779,                0.97917,                0.96299,                0.62435,                  1.279,                0.75282,                 1.4794,               0.000109,               0.000109,               0.000109
                     48,                0.79187,                0.70234,                 1.1098,                0.99867,                      1,                  0.995,                0.63971,                 1.2489,                0.74322,                 1.4559,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.75993,                0.68568,                 1.0648,                0.99861,                      1,                  0.995,                0.63897,                 1.2408,                0.74981,                 1.4398,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.75366,                0.67785,                 1.0997,                0.99849,                      1,                  0.995,                0.63796,                 1.2543,                0.74758,                  1.449,               4.96e-05,               4.96e-05,               4.96e-05
